Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
358.15	0.18000	60.740	0.016464	21.598	24.561	122.71	31.500	40.014	291.76	6.9292	17.747	0.021381	vapor
358.15	2.0000	710.59	0.0014073	21.223	24.038	101.64	32.446	43.347	283.99	6.8901	18.039	0.022388	vapor
358.15	4.0000	1513.3	0.00066079	20.770	23.413	94.593	33.589	48.142	275.64	6.7907	18.509	0.023846	vapor
358.15	6.0000	2436.2	0.00041048	20.263	22.726	89.777	34.845	54.681	267.74	6.6045	19.207	0.025849	vapor
358.15	8.0000	3517.9	0.00028426	19.690	21.964	85.744	36.211	63.828	260.87	6.2916	20.259	0.028681	vapor
358.15	10.000	4807.8	0.00020800	19.037	21.117	82.020	37.643	76.675	256.16	5.8053	21.872	0.032732	supercritical
358.15	12.000	6348.0	0.00015753	18.300	20.190	78.420	39.005	93.545	255.69	5.1110	24.361	0.038289	supercritical
358.15	14.000	8109.1	0.00012332	17.507	19.233	74.970	40.017	110.70	262.67	4.2359	28.038	0.044958	supercritical
358.15	16.000	9904.4	0.00010096	16.741	18.357	71.902	40.456	119.87	279.49	3.3279	32.803	0.051526	supercritical
358.15	18.000	11494.	8.7004e-05	16.088	17.654	69.417	40.475	118.86	304.35	2.5598	37.980	0.057215	supercritical
