Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
308.15	0.18000	70.825	0.014119	20.067	22.609	116.84	29.450	38.080	272.15	10.056	15.401	0.017445	vapor
308.15	2.0000	862.48	0.0011595	19.537	21.856	95.078	31.365	44.371	258.85	10.104	15.678	0.018713	vapor
308.15	4.0000	1967.6	0.00050825	18.816	20.849	86.867	34.165	56.924	242.24	10.064	16.292	0.021177	vapor
308.15	6.0000	3608.0	0.00027716	17.790	19.453	79.874	38.778	91.211	221.87	9.6884	17.732	0.027133	vapor
308.15	8.0000	9522.6	0.00010501	14.664	15.504	65.774	57.964	1302.4	181.29	6.1424	29.161	0.084909	vapor
308.15	10.000	16197.	6.1741e-05	12.124	12.742	56.357	43.388	175.54	328.38	1.7206	57.987	0.077773	supercritical
308.15	12.000	17430.	5.7374e-05	11.634	12.322	54.612	41.737	133.27	394.49	1.1306	66.144	0.083563	supercritical
308.15	14.000	18210.	5.4915e-05	11.312	12.081	53.464	41.085	116.74	441.56	0.83656	71.991	0.088250	supercritical
308.15	16.000	18795.	5.3205e-05	11.064	11.916	52.578	40.733	107.41	479.57	0.65070	76.785	0.092202	supercritical
308.15	18.000	19269.	5.1896e-05	10.860	11.794	51.843	40.522	101.28	511.91	0.51978	80.960	0.095668	supercritical
