Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
408.15	0.18000	53.203	0.018796	23.224	26.608	128.06	33.368	41.819	309.93	5.0631	20.009	0.025415	vapor
408.15	2.0000	609.88	0.0016397	22.936	26.215	107.33	33.909	43.889	305.28	4.9972	20.296	0.026279	vapor
408.15	4.0000	1263.7	0.00079130	22.603	25.768	100.75	34.528	46.529	300.69	4.8975	20.696	0.027382	vapor
408.15	6.0000	1966.0	0.00050865	22.252	25.304	96.522	35.165	49.604	296.77	4.7631	21.210	0.028687	vapor
408.15	8.0000	2720.6	0.00036756	21.883	24.824	93.232	35.811	53.154	293.73	4.5878	21.866	0.030243	vapor
408.15	10.000	3530.0	0.00028329	21.497	24.330	90.443	36.451	57.182	291.88	4.3672	22.699	0.032100	supercritical
408.15	12.000	4393.2	0.00022763	21.095	23.827	87.967	37.068	61.621	291.58	4.1005	23.747	0.034295	supercritical
408.15	14.000	5304.0	0.00018854	20.682	23.322	85.716	37.640	66.301	293.23	3.7922	25.044	0.036841	supercritical
408.15	16.000	6249.7	0.00016001	20.264	22.825	83.647	38.146	70.933	297.18	3.4521	26.616	0.039704	supercritical
408.15	18.000	7210.2	0.00013869	19.850	22.346	81.745	38.569	75.140	303.67	3.0951	28.464	0.042805	supercritical
